id,ano,valor_total
220671,2024,565242.9699999999
160674,2025,565227.5900000002
220677,2024,565200.6999999997
220672,2025,564584.2700000001
204388,2023,564358.0300000007
160559,2024,563142.0400000004
141470,2024,562964.9399999994
204498,2023,562782.4699999992
74467,2023,562727.99
204427,2024,562580.6699999991
143632,2025,562445.1399999998
220574,2023,562287.6000000001
204498,2025,562211.0799999991
220662,2023,561812.5
220664,2024,561724.6299999997
204495,2023,561704.7600000001
220697,2024,561606.5300000001
220713,2023,561414.6200000002
220714,2023,560994.4500000001
204388,2024,560587.5400000005
220591,2023,560487.15
160538,2025,560415.3899999992
220573,2025,560335.6499999998
160635,2023,560275.1299999997
220539,2023,560240.4399999998
178963,2025,560020.49
88256,2025,559952.3099999996
220608,2023,559716.9300000002
204388,2025,559611.49
204426,2023,559315.61
139285,2024,559044.8399999996
180214,2025,558946.5400000002
153423,2023,558908.22
160553,2025,558747.2499999997
204416,2025,558660.95
220677,2025,558640.3499999997
141411,2024,558589.43
74060,2025,558554.0099999993
220672,2024,558439.4099999998
204557,2023,558375.8299999996
220664,2025,557916.0499999998
220584,2025,557791.8200000001
204367,2024,557510.7200000007
230767,2025,557426.3800000001
160538,2024,557274.2700000001
178835,2025,556991.8500000004
204409,2024,556771.8099999999
204362,2025,556551.1700000017
220662,2025,556390.1199999998
220536,2025,556290.6800000002
220582,2024,556134.1499999996
209189,2025,556072.6399999995
160673,2025,556022.9600000002
136811,2024,555971.1299999995
220582,2025,555913.4199999999
220581,2024,555536.5499999999
178954,2023,555530.78
74317,2024,555523.9399999998
220546,2024,555486.9100000003
73692,2025,555356.1999999997
74270,2024,555274.9500000001
74356,2025,554797.4200000002
220671,2023,554707.3599999996
220675,2024,554693.8999999998
220685,2024,554481.839999999
178887,2024,554381.3599999996
178964,2024,554229.8900000002
204416,2024,553940.2000000001
66385,2024,553938.6199999995
220672,2023,553834.4499999996
66385,2023,553746.5700000001
178908,2023,553272.1899999998
220581,2023,553103.39
204574,2025,553046.6100000005
204431,2023,552802.19
123086,2025,552786.5399999999
141485,2024,552573.0100000002
141411,2025,552520.5300000003
74467,2025,552346.17
220558,2025,552257.4800000008
220555,2025,552004.5100000001
204453,2023,551985.239999999
220699,2024,551984.45
204445,2025,551972.6199999995
220551,2024,551801.5699999995
220583,2024,551744.22
121948,2024,551421.4300000026
160548,2024,551013.740000001
220667,2024,550990.8099999992
220663,2025,550963.1800000002
220663,2024,550827.8199999995
220592,2023,550622.14
220699,2025,550578.2199999997
204427,2023,550523.3099999998
220558,2024,550479.5000000001
220712,2023,550104.4400000003
220559,2024,549852.9100000001
204408,2025,549712.4199999998
220697,2025,549614.4899999999
74398,2025,549605.5499999976
204504,2024,549451.4800000002
204367,2025,549443.1800000003
220548,2024,549396.2599999995
178866,2023,549295.8000000006
191923,2023,549184.1500000003
220581,2025,549115.9400000002
160665,2023,548916.1999999997
74084,2024,548827.0299999996
160673,2023,548766.7900000007
69871,2025,548565.01
204486,2025,548225.0999999995
220621,2025,548169.7999999996
220560,2025,548144.3000000002
220547,2025,548143.4900000001
204431,2025,547884.12
204416,2023,547854.6999999998
160559,2025,547566.1799999998
220671,2025,547505.2200000001
220595,2024,547406.2599999998
220558,2023,547330.9599999996
74084,2025,547088.12
122974,2024,546960.1699999997
220548,2025,546919.5299999998
220586,2025,546880.8199999997
73692,2024,546475.1799999997
139285,2025,546446.4099999996
209189,2024,546257.8899999993
104552,2025,546162.9800000001
220658,2023,546074.5600000003
74041,2023,545800.9400000006
160665,2024,545789.7599999994
220561,2024,545770.5499999997
92699,2024,545761.4399999995
204472,2023,545652.5200000007
220585,2025,545563.8200000001
141470,2023,545548.1900000001
220708,2025,545494.1400000001
220578,2024,545397.9799999997
122974,2023,545363.9000000001
74574,2025,545218.7099999993
220685,2025,545136.4299999999
204408,2024,544926.1299999993
153423,2025,544914.1399999998
220594,2024,544911.0899999999
220712,2025,544864.1200000001
74060,2023,544523.0699999995
220592,2024,544474.0399999997
220633,2024,544462.2699999999
220687,2025,544323.1200000002
204379,2025,544288.3399999999
74376,2025,543769.8200000002
123756,2023,543586.2099999997
220544,2024,543528.5499999999
74043,2024,543333.9399999995
204422,2024,543272.5799999996
204358,2024,543041.4299999996
160642,2025,542934.3600000001
220688,2024,542833.9299999991
220693,2025,542699.6
74376,2023,542666.5099999999
220701,2024,542639.4399999996
72442,2025,542556.1999999998
178989,2025,542429.4400000001
157130,2025,541905.6500000001
220542,2024,541760.2699999997
136811,2023,541673.030000001
74090,2025,541517.1699999999
74090,2023,541489.2300000003
178860,2025,541419.3999999999
220544,2025,541212.3600000001
178887,2023,541172.6
215043,2023,541137.9899999998
74057,2024,540867.8799999999
178927,2023,540805.1499999996
220695,2025,540727.6000000006
220700,2025,540619.94
220666,2025,540582.45
204488,2024,540527.1299999998
160674,2023,540433.7600000005
188097,2024,540403.1000000002
220561,2025,540332.6900000002
74043,2023,540194.0799999998
178843,2025,539814.1300000001
188097,2023,539745.4600000008
178887,2025,539741.2100000001
74428,2024,539667.8799999994
220670,2025,539658.4199999999
160604,2025,539495.7700000007
74554,2023,538913.6600000001
91228,2023,538817.35
204411,2023,538816.0299999997
74428,2025,538769.4100000001
160674,2024,538744.81
220685,2023,538685.4700000004
204394,2025,538580.6999999997
220573,2023,538537.3899999997
220666,2023,538461.1200000005
220703,2024,538269.3599999998
220624,2025,538260.8600000002
220675,2023,538093.5900000001
178866,2025,537884.3800000004
178829,2024,537872.38
220707,2025,537629.8500000001
88256,2024,537606.1399999997
204557,2024,537576.1899999996
220684,2025,537568.8600000008
220677,2023,537352.4200000003
204489,2025,537340.2999999999
220702,2025,537269.2699999998
104552,2024,537169.67
160600,2024,537050.1700000002
220682,2025,536782.5399999996
204368,2024,536711.6000000004
62881,2023,536564.4800000004
220553,2024,536353.7999999955
220674,2023,535970.1900000001
204427,2025,535867.6699999999
204559,2023,535766.8799999997
220556,2025,535470.939999999
220661,2025,535380.86
178829,2025,535362.6900000002
220542,2025,535362.32
220688,2023,535333.8700000002
220640,2024,534958.3199999996
73768,2025,534819.3499999999
204368,2025,534793.6699999998
204492,2024,534620.7799999997
178829,2023,534583.0000000003
220703,2025,534577.3399999999
178835,2023,534493.2099999991
220557,2025,534491.1100000002
162067,2024,534486.9799999999
220561,2023,534342.5399999996
204449,2025,534294.05
204472,2024,534215.2099999997
220584,2024,534210.3199999995
220695,2024,533683.29
204396,2023,533638.3799999998
220545,2025,533615.9999999998
98148,2025,533302.2600000005
141398,2025,533256.2000000001
74317,2025,532689.9500000002
