id,tipoDespesa,valorLiquido,ranking
160553,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,503155.81,2.0
220539,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,280220.0,3.0
204557,LOCAÇÃO OU FRETAMENTO DE AERONAVES,639200.0,1.0
220555,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,619290.36,1.0
204453,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,537006.78,1.0
204379,PASSAGEM AÉREA - SIGEPA,420800.09,2.0
204378,PASSAGEM AÉREA - SIGEPA,194820.08,4.0
74043,PASSAGEM AÉREA - SIGEPA,245446.16999999998,3.0
160559,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,187016.92,5.0
141485,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1064948.38,1.0
74090,LOCAÇÃO OU FRETAMENTO DE AERONAVES,924860.0,1.0
74374,COMBUSTÍVEIS E LUBRIFICANTES.,233624.12,3.0
178997,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,10323.34,4.0
81055,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,121995.38,4.0
220658,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1061450.65,1.0
160674,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,271719.22,3.0
220714,PASSAGEM AÉREA - SIGEPA,141105.33,3.0
191923,PASSAGEM AÉREA - SIGEPA,115252.66,5.0
178835,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,208829.72,5.0
220561,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",64367.13,5.0
178964,COMBUSTÍVEIS E LUBRIFICANTES.,115067.73,5.0
141408,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1274500.0,1.0
178829,PASSAGEM AÉREA - SIGEPA,134811.14,5.0
220685,PASSAGEM AÉREA - SIGEPA,291207.91,2.0
153423,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,33006.17,5.0
220664,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",12872.1,5.0
74398,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,451631.92,1.0
74090,PASSAGEM AÉREA - SIGEPA,99704.42,5.0
204423,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,404408.0,2.0
220685,COMBUSTÍVEIS E LUBRIFICANTES.,201803.46,4.0
141470,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,91100.0,5.0
220589,COMBUSTÍVEIS E LUBRIFICANTES.,180678.5,4.0
220697,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,140596.82,4.0
220540,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,104143.6,5.0
188097,PASSAGEM AÉREA - SIGEPA,134565.93,5.0
220666,COMBUSTÍVEIS E LUBRIFICANTES.,125118.38,4.0
220591,PASSAGEM AÉREA - SIGEPA,118228.37,5.0
220539,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,229129.57,5.0
220610,PASSAGEM AÉREA - SIGEPA,238440.38,3.0
204388,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,357198.8,3.0
74060,PASSAGEM AÉREA - SIGEPA,205118.57,3.0
204427,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,171771.41,3.0
74043,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1028000.0,1.0
141421,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",6000.0,5.0
220592,PASSAGEM AÉREA - SIGEPA,240066.69,2.0
220546,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,124517.86,4.0
220609,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,122564.9,5.0
136811,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,443303.0,1.0
204453,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,367668.45,3.0
220708,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,299816.83,3.0
74374,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,250785.27,2.0
220537,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1027641.67,1.0
220609,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,612968.0,1.0
178829,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,237400.0,2.0
160553,COMBUSTÍVEIS E LUBRIFICANTES.,172928.47,4.0
220573,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,26894.37,5.0
220592,LOCAÇÃO OU FRETAMENTO DE AERONAVES,68500.0,4.0
178954,COMBUSTÍVEIS E LUBRIFICANTES.,287721.66,3.0
178835,PASSAGEM AÉREA - SIGEPA,331616.97000000003,3.0
74090,PASSAGEM AÉREA - REEMBOLSO,158525.2,4.0
220708,COMBUSTÍVEIS E LUBRIFICANTES.,233310.91,4.0
74374,PASSAGEM AÉREA - SIGEPA,117816.56,5.0
220666,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,869902.74,1.0
81055,COMBUSTÍVEIS E LUBRIFICANTES.,93533.63,5.0
153423,COMBUSTÍVEIS E LUBRIFICANTES.,45992.0,4.0
220589,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,902222.52,1.0
153423,LOCAÇÃO OU FRETAMENTO DE AERONAVES,742582.71,1.0
220551,COMBUSTÍVEIS E LUBRIFICANTES.,188009.08,4.0
220671,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,28232.8,4.0
204479,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,901588.8,1.0
220677,PASSAGEM AÉREA - SIGEPA,403889.71,2.0
220608,PASSAGEM AÉREA - SIGEPA,211366.69,4.0
204360,COMBUSTÍVEIS E LUBRIFICANTES.,203855.82,2.0
224117,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,787032.3,2.0
220558,COMBUSTÍVEIS E LUBRIFICANTES.,187527.84,4.0
220544,COMBUSTÍVEIS E LUBRIFICANTES.,255715.52,4.0
122974,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,311377.13,2.0
74041,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,291267.14,4.0
143632,PASSAGEM AÉREA - SIGEPA,271327.29,3.0
160665,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,434274.0,2.0
220658,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,184628.55000000002,3.0
204557,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,236573.37,4.0
220591,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,964675.7,1.0
178997,PASSAGEM AÉREA - SIGEPA,248617.22,2.0
204498,PASSAGEM AÉREA - SIGEPA,490913.79,2.0
73692,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,339624.87,2.0
220578,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,161400.0,4.0
141421,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,846615.62,1.0
220538,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,64510.8,5.0
204396,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1148152.97,1.0
178829,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,170213.9,4.0
220536,COMBUSTÍVEIS E LUBRIFICANTES.,50151.9,5.0
178997,COMBUSTÍVEIS E LUBRIFICANTES.,15578.05,3.0
73486,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1014237.43,1.0
204388,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,511840.88,1.0
204379,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,883364.5,1.0
220539,COMBUSTÍVEIS E LUBRIFICANTES.,243394.31,4.0
220664,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,926908.87,1.0
204481,PASSAGEM AÉREA - RPA,40563.31,5.0
204498,COMBUSTÍVEIS E LUBRIFICANTES.,2536.42,4.0
220608,COMBUSTÍVEIS E LUBRIFICANTES.,183195.05,5.0
220536,PASSAGEM AÉREA - SIGEPA,179580.41999999998,4.0
141470,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,481898.74,2.0
141411,COMBUSTÍVEIS E LUBRIFICANTES.,151671.65,5.0
73486,PASSAGEM AÉREA - SIGEPA,205330.99,3.0
220672,PASSAGEM AÉREA - SIGEPA,437563.85,2.0
204431,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,51000.0,5.0
220540,PASSAGEM AÉREA - SIGEPA,404207.54,2.0
141470,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,397726.72,3.0
74041,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,385850.36,2.0
220588,PASSAGEM AÉREA - SIGEPA,208224.19,3.0
220588,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,206518.66,4.0
141485,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,76261.46,4.0
220553,COMBUSTÍVEIS E LUBRIFICANTES.,257607.86,4.0
204479,COMBUSTÍVEIS E LUBRIFICANTES.,171686.21,3.0
136811,PASSAGEM AÉREA - SIGEPA,263047.34,3.0
220688,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,231125.18,5.0
204358,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,296400.0,2.0
220561,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,370366.67,2.0
220592,COMBUSTÍVEIS E LUBRIFICANTES.,172685.64,3.0
220714,LOCAÇÃO OU FRETAMENTO DE AERONAVES,127000.0,4.0
220578,PASSAGEM AÉREA - SIGEPA,245154.08,3.0
123756,LOCAÇÃO OU FRETAMENTO DE AERONAVES,220450.0,3.0
220581,PASSAGEM AÉREA - SIGEPA,131768.31,5.0
123756,PASSAGEM AÉREA - RPA,6898.799999999999,5.0
160665,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,160533.91,4.0
204360,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",25785.76,5.0
178866,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,713229.59,1.0
204406,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,439249.35,1.0
178866,PASSAGEM AÉREA - SIGEPA,339134.52,2.0
220573,PASSAGEM AÉREA - SIGEPA,361157.08,2.0
209189,PASSAGEM AÉREA - SIGEPA,172935.63,5.0
220662,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",21701.72,5.0
109429,PASSAGEM AÉREA - SIGEPA,185304.61,5.0
204481,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,879777.16,1.0
141485,PASSAGEM AÉREA - SIGEPA,196331.52,2.0
220697,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,228000.0,3.0
220591,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,188938.3,4.0
74398,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,294383.43,3.0
123756,COMBUSTÍVEIS E LUBRIFICANTES.,10610.55,4.0
204473,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,379643.13,3.0
204481,PASSAGEM AÉREA - SIGEPA,428530.03,2.0
204557,PASSAGEM AÉREA - SIGEPA,346600.05,3.0
141411,PASSAGEM AÉREA - SIGEPA,154255.44,4.0
204453,PASSAGEM AÉREA - SIGEPA,390479.65,2.0
73692,COMBUSTÍVEIS E LUBRIFICANTES.,147000.69,5.0
160559,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,449164.56,1.0
204416,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,285072.63,3.0
122974,COMBUSTÍVEIS E LUBRIFICANTES.,106463.69,5.0
160538,COMBUSTÍVEIS E LUBRIFICANTES.,140613.42,5.0
220558,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,412854.0,2.0
178963,PASSAGEM AÉREA - SIGEPA,128516.28,4.0
220610,COMBUSTÍVEIS E LUBRIFICANTES.,108896.03,4.0
220540,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,221941.24,4.0
178963,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,332581.27,3.0
141470,PASSAGEM AÉREA - SIGEPA,487757.6,1.0
204426,COMBUSTÍVEIS E LUBRIFICANTES.,319397.98,4.0
143632,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,843381.63,1.0
141459,PASSAGEM AÉREA - SIGEPA,183966.97,3.0
220581,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,234046.39,3.0
220558,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,646284.07,1.0
204426,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,490745.67,1.0
