id,nomeCivil,siglaUF,siglaPartido
230765,REJANE DE ALMEIDA,RJ,PCdoB
220663,JOSÉ ERIBERTO MEDEIROS DE OLIVEIRA,PE,PSB
220645,ERIKA SANTOS SILVA,SP,PSOL
160575,ÉRIKA JUCÁ KOKAY,DF,PT
160640,EROS FERREIRA BIONDINI,MG,PL
204482,EUCLYDES MARCOS PETTERSEN NETO,MG,REPUBLICANOS
74454,EUNÍCIO LOPES DE OLIVEIRA,CE,MDB
178871,EVAIR VIEIRA DE MELO,ES,PP
220681,FÁBIO HENRIQUE DIAS DE  MACEDO,MA,PODE
171623,FABIO DE ALMEIDA REIS,SE,PSD
204368,FÁBIO LUIZ SCHIOCHET FILHO,SC,UNIÃO
220653,Fábio Eduardo de Oliveira Teruel,SP,MDB
74065,FÁTIMA LÚCIA PELAES,AP,REPUBLICANOS
220712,FAUSTO VIEIRA DOS SANTOS JUNIOR,AM,UNIÃO
66828,FAUSTO RUY PINATO,SP,PP
220646,FELIPE BECARI COMENALE,SP,UNIÃO
72442,FELIPE AUGUSTO LYRA CARRERAS,PE,PSB
204398,LUIS FELIPE BONATTO FRANCISCHINI,PR,UNIÃO
160666,FELIX DE ALMEIDA MENDONÇA JÚNIOR,BA,PDT
204407,FERNANDA MELCHIONNA E SILVA,RS,PSOL
141431,FERNANDO BEZERRA DE SOUZA COELHO FILHO,PE,UNIÃO
204445,FERNANDO WANDERLEY VARGAS DA SILVA,RN,PT
92699,FERNANDO MONTEIRO DE ALBUQUERQUE,PE,PSD
204427,FERNANDO RODOLFO TENORIO DE VASCONCELOS,PE,PL
204411,FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,PR,PL
220545,FILIPE MARTINS DOS SANTOS,TO,PL
160598,FLÁVIA CARREIRO ALBUQUERQUE MORAIS,GO,PDT
191923,FLÁVIO RODRIGUES NOGUEIRA,PI,PT
220700,FLORENTINO ALVES VERAS NETO,PI,PT
220551,FRANCIANE ABADE BAYER MULLER,RS,REPUBLICANOS
204494,FREDERICO BORGES DA COSTA,MG,PRD
220534,DAVYS FREDERICO TEIXEIRA LINHARES,DF,REPUBLICANOS
224117,GABRIEL MOTA E SILVA,RR,REPUBLICANOS
220708,GABRIEL JOSE MOURA NUNES SOARES,BA,PSD
204473,ELIÉSER GIRÃO MONTEIRO FILHO,RN,PL
220611,EDUARDO PAZUELLO,RJ,PL
178966,Geovânia de Sá,SC,PSDB
220702,GERALDO GABRIEL MENDES,PR,UNIÃO
74374,GERALDO RESENDE PEREIRA,MS,PSDB
204394,GERVÁSIO AGRIPINO MAIA,PB,PSB
74383,FERNANDO LÚCIO GIACOBO,PR,PL
204491,GILBERTO APARECIDO ABRAMO,MG,REPUBLICANOS
74270,GILBERTO NASCIMENTO SILVA,SP,PSD
220529,GILSON DANIEL BATISTA,ES,PODE
204365,GILSON MARQUES VIEIRA,SC,NOVO
220526,GILVAN AGUIAR COSTA,ES,PL
160673,GIOVANI CHERINI,RS,PL
226179,GISELA SIMONA VIANA DE SOUZA,MT,UNIÃO
204419,GLAUSKSTON BATISTA RIOS,GO,PODE
129618,MARIA GORETE PEREIRA,CE,MDB
198197,GREYCE DE QUEIROZ ELIAS,MG,AVANTE
204531,GUILHERME MURARO DERRITE,SP,PP
220664,GUILHERME A. UCHOA CAVALCANTI PESSOA DE MELO JUNIOR,PE,PSB
220568,GUSTAVO GAYER MACHADO DE ARAUJO,GO,PL
204408,LUIZ AUGUSTO CARVALHO RIBEIRO FILHO,SE,REPUBLICANOS
204456,GUTEMBERG REIS DE OLIVEIRA,RJ,MDB
178964,HEITOR JOSE SCHUCH,RS,PSB
178873,HELDER IGNACIO SALOMAO,ES,PT
220537,MARIA HELENA TEIXEIRA LIMA,RR,MDB
204444,HELIO FERNANDO BARBOSA LOPES,RJ,PL
234788,HELOÍSA HELENA LIMA DE MORAES CARVALHO,RJ,REDE
220672,HENDERSON LIRA PINTO,PA,MDB
204539,HERCÍLIO ARAÚJO DINIZ FILHO,MG,MDB
178884,HILDO AUGUSTO DA ROCHA NETO,MA,MDB
141450,HUGO LEAL MELO DA SILVA,RJ,PSD
160674,HUGO MOTTA WANDERLEY DA NÓBREGA,PB,REPUBLICANOS
220563,ICARO BARBOSA COSTA,SE,PL
204508,IGOR TARCIANO TIMO,MG,PSD
98615,ISMAEL DOS SANTOS,SC,PSD
204436,ISNALDO BULHOES BARROS JUNIOR,AL,MDB
73531,IVAN VALENTE,SP,PSOL
220696,IVONEIDE SOUZA CAETANO,BA,PT
220670,IZA PAULA DE DEUS E MELLO ALBUQUERQUE ARRUDA,PE,MDB
220527,JACKELINE OLIVEIRA ROCHA,ES,PT
220697,JADYEL SILVA ALENCAR,PI,REPUBLICANOS
74848,JANDIRA FEGHALI,RJ,PCdoB
220567,JEFERSON RODRIGUES LEMOS,GO,REPUBLICANOS
74273,JEFFERSON ALVES DE CAMPOS,SP,PL
141456,JILMAR AUGUSTINHO TATTO,SP,PT
141458,JOÃO CARLOS PAOLILO BACELAR FILHO,BA,PL
230957,João Cury Neto,SP,MDB
178970,JOAO SOMARIVA DANIEL,SE,PT
74550,JOÃO FELIPE DE SOUZA LEÃO,BA,PP
141459,JOÃO DA SILVA MAIA,RN,PP
178910,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,PA,PL
160548,JONAS DONIZETTE FERREIRA,SP,PSB
205550,JORGE BRAZ DE OLIVEIRA,RJ,REPUBLICANOS
214694,JORGE GOETTEN DE LIMA,SC,REPUBLICANOS
178857,JORGE JOSE SANTOS PEREIRA SOLLA,BA,PT
141464,JOSÉ AIRTON FÉLIX CIRILO DA SILVA,CE,PT
141470,JOSÉ NOBRE GUIMARÃES,CE,PT
204472,JOSE ANTONIO DOS SANTOS MEDEIROS,MT,PL
204391,JOSÉ NELTO LAGARES DAS MERCEZ,GO,UNIÃO
74079,JOSÉ BENITO PRIANTE JÚNIOR,PA,MDB
74554,JOSÉ ALVES ROCHA,BA,UNIÃO
209189,JOSEILDO RIBEIRO RAMOS,BA,PT
220578,JOSENILDO SANTOS ABRANTES,AP,PDT
215043,JOSIVALDO DOS SANTOS MELO,MA,PSD
204474,JUAREZ ALVES DA COSTA,MT,MDB
220559,JULIA PEDROSO ZANATTA,SC,PL
220640,JULIANA CARDOSO,SP,PT
66385,JULIO FERRAZ ARCOVERDE,PI,PP
74317,JÚLIO CÉSAR DE CARVALHO LIMA,PI,PSD
204372,JULIO CESAR RIBEIRO,DF,REPUBLICANOS
74253,JULIO LUIZ BAPTISTA LOPES,RJ,PP
204457,ROGERIO TEIXEIRA JUNIOR,RJ,UNIÃO
204520,GERALDO JUNIO DO AMARAL,MG,PL
204497,JOÃO FERRARI JÚNIOR,PA,PSD
204574,JOSE LOURENÇO BOMFIM JUNIOR,MA,PL
204550,ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR,CE,PSB
178886,JOSE JUSCELINO DOS SANTOS REZENDE FILHO,MA,UNIÃO
220677,KENISTON DE JESUS REGO BRAGA,PA,MDB
162067,FRANCISCO DANIEL CELEGUIM DE MORAIS,SP,PT
204536,KIM PATROCA KATAGUIRI,SP,MISSÃO
98057,LAFAYETTE LUIZ DOORGAL DE ANDRADA,MG,REPUBLICANOS
74856,MARIA LAURA MONTEZA DE SOUZA CARNEIRO,RJ,PSD
220566,Lêda Borges de Moura,GO,PSDB
231911,LENIR CANDIDA DE ASSIS,PR,PT
80815,LEONARDO SILVA PRATES,BA,PDT
74156,JOSÉ LEONARDO COSTA MONTEIRO,MG,PT
74299,JOSÉ LEÔNIDAS DE MENEZES CRISTINO,CE,PDT
92102,LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,BA,UNIÃO
139285,LÍDICE DA MATA E SOUZA,BA,PSB
74585,LINCOLN DINIZ PORTELA,MG,PL
74858,LUIZ LINDBERGH FARIAS FILHO,RJ,PT
234253,LUCAS ABRAHAO ROSA CEZARIO DE ALMEIDA,AP,REDE
220662,LUCAS CAVALCANTI RAMOS,PE,PSB
204404,LUCAS BELLO REDECKER,RS,PSDB
138286,LUCIANO ALVES DOS SANTOS,PR,PSD
220581,LUCIANO SURUAGY DO AMARAL FILHO,AL,PSD
74478,LUCIANO CALDAS BIVAR,PE,UNIÃO
178931,LUCIANO DUCCI,PR,PSB
220616,LUCIANO VIEIRA MENDES,RJ,PSDB
178954,LUCIO ANTONIO MOSQUINI,RO,MDB
222429,LUIS CARLOS GOMES DA SILVA,RJ,REPUBLICANOS
160510,LUIS HENRIQUE DE OLIVEIRA RESENDE,MG,AVANTE
204410,LUISA CANZIANI DOS SANTOS SILVEIRA,PR,PSD
141485,LUIZ CARLOS GHIORZZI BUSATO,RS,UNIÃO
73778,LUIZ CARLOS JORGE HAULY,PR,PODE
204485,LUIZ CARLOS MOTTA,SP,PL
74041,LUIZ ALBUQUERQUE COUTO,PB,PT
141487,LUIZ FERNANDO RAMOS FARIA,MG,PSD
220658,LUIZ GASTÃO BITTENCOURT DA SILVA,CE,PSD
