id,tipoDespesa,valorLiquido,ranking
220545,PASSAGEM AÉREA - SIGEPA,94733.78,5.0
179000,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,341060.0,2.0
234310,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,9232.9,4.0
165470,COMBUSTÍVEIS E LUBRIFICANTES.,136810.53,4.0
141391,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,102346.51000000001,4.0
220533,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,236816.1,3.0
178987,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,81678.68000000001,5.0
204422,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,582507.0,1.0
204396,COMBUSTÍVEIS E LUBRIFICANTES.,153872.48,4.0
220620,COMBUSTÍVEIS E LUBRIFICANTES.,194544.71,5.0
204473,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,566095.0,1.0
157130,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,507527.74,1.0
160591,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,134971.24,4.0
74158,PASSAGEM AÉREA - SIGEPA,448713.79,2.0
139285,PASSAGEM AÉREA - SIGEPA,318685.59,2.0
204485,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,432216.46,1.0
204494,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,204060.25,4.0
74317,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,602724.45,1.0
178831,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,76140.0,2.0
162067,PASSAGEM AÉREA - SIGEPA,297688.48,3.0
204534,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,898559.8,1.0
220544,PASSAGEM AÉREA - SIGEPA,30501.69,5.0
204482,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,644544.07,1.0
220675,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,163276.0,4.0
160599,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,456532.0,1.0
220699,COMBUSTÍVEIS E LUBRIFICANTES.,134034.9,5.0
92776,PASSAGEM AÉREA - SIGEPA,180777.45,4.0
162332,PASSAGEM AÉREA - RPA,147367.13,4.0
74160,PASSAGEM AÉREA - SIGEPA,152769.11,4.0
220647,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,212745.97,3.0
233594,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,24604.62,4.0
220701,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,249000.0,2.0
220667,COMBUSTÍVEIS E LUBRIFICANTES.,132301.84,5.0
160632,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,781214.72,1.0
77003,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",671.22,4.0
220646,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,200187.87,2.0
220671,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1157038.0,1.0
204455,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,162800.0,4.0
220606,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,690821.82,1.0
209787,PASSAGEM AÉREA - SIGEPA,262711.52,3.0
204464,PASSAGEM AÉREA - SIGEPA,614894.89,1.0
74273,PASSAGEM AÉREA - SIGEPA,281446.12,3.0
220625,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,311013.97,2.0
220692,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,380800.0,2.0
62881,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,86894.78,4.0
220563,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,645500.0,1.0
160541,COMBUSTÍVEIS E LUBRIFICANTES.,115677.62,2.0
220671,COMBUSTÍVEIS E LUBRIFICANTES.,298395.07,2.0
143942,PASSAGEM AÉREA - SIGEPA,199633.72,1.0
235088,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,7668.93,2.0
231911,COMBUSTÍVEIS E LUBRIFICANTES.,31167.78,5.0
220687,PASSAGEM AÉREA - SIGEPA,116278.9,4.0
204436,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10414.1,5.0
204456,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,187000.0,4.0
220703,COMBUSTÍVEIS E LUBRIFICANTES.,192663.73,4.0
220553,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,185503.9,5.0
178963,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,710031.58,1.0
88256,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,34800.0,5.0
141487,PASSAGEM AÉREA - SIGEPA,305492.51,3.0
179001,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,315153.5,3.0
204395,COMBUSTÍVEIS E LUBRIFICANTES.,66768.94,5.0
230767,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,82090.0,3.0
220682,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,417974.74,1.0
204427,PASSAGEM AÉREA - SIGEPA,656414.05,1.0
220546,PASSAGEM AÉREA - SIGEPA,93615.62,5.0
220640,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,235814.36,2.0
220669,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,662936.15,1.0
234310,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,49950.0,1.0
204444,PASSAGEM AÉREA - SIGEPA,425239.12,2.0
220655,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,398511.59,2.0
178934,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,409000.0,2.0
204472,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,390863.27,1.0
220569,PASSAGEM AÉREA - SIGEPA,31001.95,5.0
220695,PASSAGEM AÉREA - SIGEPA,406127.68,2.0
109429,COMBUSTÍVEIS E LUBRIFICANTES.,194072.79,4.0
66385,PASSAGEM AÉREA - SIGEPA,330822.15,2.0
204423,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,319102.75,3.0
220602,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,89421.02,4.0
204374,COMBUSTÍVEIS E LUBRIFICANTES.,106085.75,4.0
137070,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,15164.6,3.0
178987,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,818169.3,1.0
80815,COMBUSTÍVEIS E LUBRIFICANTES.,108152.55,5.0
220682,COMBUSTÍVEIS E LUBRIFICANTES.,293926.25,3.0
74060,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,192209.0,4.0
204396,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,158052.23,3.0
220559,PASSAGEM AÉREA - SIGEPA,246063.86,3.0
178985,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,229296.62,2.0
220576,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,791798.0,1.0
204531,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,3850.7,3.0
160553,PASSAGEM AÉREA - SIGEPA,561717.91,1.0
141485,COMBUSTÍVEIS E LUBRIFICANTES.,159293.78,3.0
74454,COMBUSTÍVEIS E LUBRIFICANTES.,4864.25,5.0
204501,COMBUSTÍVEIS E LUBRIFICANTES.,164093.05,5.0
204511,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,164997.15,4.0
